version,base version,scenario,solution,timestamp,duration,base duration,relative duration
8.0.100-alpha.1.23061.8,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T10:22:13.8149095Z,686.2771186,112.8556037,608.1019427482802
8.0.100-alpha.1.23061.8,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T10:22:13.8149095Z,354.014419,67.5897543,523.7693533086272
8.0.100-alpha.1.23061.8,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T10:22:13.8149095Z,324.1806466,58.939173,550.0257809861024
8.0.100-alpha.1.23061.8,7.0.100,force,LargeAppCPM-142722b,2023-01-12T10:22:13.8149095Z,566.606524,71.3630105,793.9778885869732
8.0.100-alpha.1.23061.8,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T10:22:13.8149095Z,9.7105187,9.4709964,102.52900845786404
8.0.100-alpha.1.23061.8,7.0.100,warmup,Orleans-eda972a,2023-01-12T10:17:48.8257205Z,21.0972232,21.1692977,99.65953287151325
8.0.100-alpha.1.23061.8,7.0.100,arctic,Orleans-eda972a,2023-01-12T10:17:48.8257205Z,19.2911773,18.1257057,106.42993778719467
8.0.100-alpha.1.23061.8,7.0.100,cold,Orleans-eda972a,2023-01-12T10:17:48.8257205Z,16.1896409,13.8608611,116.80111923205119
8.0.100-alpha.1.23061.8,7.0.100,force,Orleans-eda972a,2023-01-12T10:17:48.8257205Z,5.6034434,5.2586721,106.55624259211748
8.0.100-alpha.1.23061.8,7.0.100,noop,Orleans-eda972a,2023-01-12T10:17:48.8257205Z,4.1003035,3.8476774,106.56567777745609
8.0.100-alpha.1.23061.8,7.0.100,warmup,LargeAppCPM-nostaticgraph-142722b,2023-01-12T10:22:50.1646318Z,611.8302734,116.5807886,524.8122617348636
8.0.100-alpha.1.23061.8,7.0.100,arctic,LargeAppCPM-nostaticgraph-142722b,2023-01-12T10:22:50.1646318Z,321.4623209,68.3085756,470.60316816209536
8.0.100-alpha.1.23061.8,7.0.100,cold,LargeAppCPM-nostaticgraph-142722b,2023-01-12T10:22:50.1646318Z,317.3579524,66.4833827,477.3492856584145
8.0.100-alpha.1.23061.8,7.0.100,force,LargeAppCPM-nostaticgraph-142722b,2023-01-12T10:22:50.1646318Z,580.49214,89.1535731,651.1148345662883
8.0.100-alpha.1.23061.8,7.0.100,noop,LargeAppCPM-nostaticgraph-142722b,2023-01-12T10:22:50.1646318Z,19.3064958,20.0701243,96.19519795400569
8.0.100-alpha.1.23061.8,6.0.400,warmup,OrchardCore-5dbd92c,2023-01-12T10:18:19.0563859Z,25.1629347,22.4448045,112.1102868149286
8.0.100-alpha.1.23061.8,6.0.400,arctic,OrchardCore-5dbd92c,2023-01-12T10:18:19.0563859Z,22.3029917,21.3000949,104.70841470288472
8.0.100-alpha.1.23061.8,6.0.400,cold,OrchardCore-5dbd92c,2023-01-12T10:18:19.0563859Z,20.3110456,19.0995568,106.34302048307217
8.0.100-alpha.1.23061.8,6.0.400,force,OrchardCore-5dbd92c,2023-01-12T10:18:19.0563859Z,12.5817316,11.8566443,106.11545123268984
8.0.100-alpha.1.23061.8,6.0.400,noop,OrchardCore-5dbd92c,2023-01-12T10:18:19.0563859Z,9.110047,8.3312875,109.34740878885766
8.0.100-alpha.1.23061.8,7.0.100,warmup,LargeAppCPM-nostaticgraph-142722b,2023-01-12T11:09:42.8127862Z,630.0777133,111.1025838,567.1134655466042
8.0.100-alpha.1.23061.8,7.0.100,arctic,LargeAppCPM-nostaticgraph-142722b,2023-01-12T11:09:42.8127862Z,318.768626,67.4292078,472.7456192952633
8.0.100-alpha.1.23061.8,7.0.100,cold,LargeAppCPM-nostaticgraph-142722b,2023-01-12T11:09:42.8127862Z,309.3301513,65.4958941,472.2893786711433
8.0.100-alpha.1.23061.8,7.0.100,force,LargeAppCPM-nostaticgraph-142722b,2023-01-12T11:09:42.8127862Z,593.4631009,87.6141796,677.359650697454
8.0.100-alpha.1.23061.8,7.0.100,noop,LargeAppCPM-nostaticgraph-142722b,2023-01-12T11:09:42.8127862Z,18.6863267,18.5630057,100.66433745694535
8.0.100-alpha.1.23061.8,6.0.400,warmup,OrchardCore-5dbd92c,2023-01-12T11:05:20.4632464Z,25.300876,25.2597502,100.16281158631568
8.0.100-alpha.1.23061.8,6.0.400,arctic,OrchardCore-5dbd92c,2023-01-12T11:05:20.4632464Z,23.8635034,21.8656222,109.1370882645178
8.0.100-alpha.1.23061.8,6.0.400,cold,OrchardCore-5dbd92c,2023-01-12T11:05:20.4632464Z,19.5631451,18.1364361,107.86653448413715
8.0.100-alpha.1.23061.8,6.0.400,force,OrchardCore-5dbd92c,2023-01-12T11:05:20.4632464Z,13.3201033,12.1298948,109.81219144621105
8.0.100-alpha.1.23061.8,6.0.400,noop,OrchardCore-5dbd92c,2023-01-12T11:05:20.4632464Z,9.4139307,8.2670365,113.8730995079071
8.0.100-alpha.1.23061.8,7.0.100,warmup,Orleans-eda972a,2023-01-12T11:04:50.7189884Z,21.1723676,19.5387183,108.3610873288449
8.0.100-alpha.1.23061.8,7.0.100,arctic,Orleans-eda972a,2023-01-12T11:04:50.7189884Z,19.0351527,18.4325655,103.26914449320688
8.0.100-alpha.1.23061.8,7.0.100,cold,Orleans-eda972a,2023-01-12T11:04:50.7189884Z,14.8031409,14.1277226,104.78080097637252
8.0.100-alpha.1.23061.8,7.0.100,force,Orleans-eda972a,2023-01-12T11:04:50.7189884Z,5.7707183,5.3608944,107.64469264680909
8.0.100-alpha.1.23061.8,7.0.100,noop,Orleans-eda972a,2023-01-12T11:04:50.7189884Z,4.0998075,4.0279906,101.7829460674511
8.0.100-alpha.1.23061.8,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T11:10:14.9266684Z,669.807738,123.3606504,542.9670935003436
8.0.100-alpha.1.23061.8,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T11:10:14.9266684Z,340.162693,84.5650192,402.2498856122769
8.0.100-alpha.1.23061.8,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T11:10:14.9266684Z,371.2354245,68.68281,540.507041718299
8.0.100-alpha.1.23061.8,7.0.100,force,LargeAppCPM-142722b,2023-01-12T11:10:14.9266684Z,633.4445905,89.0291808,711.5022117557213
8.0.100-alpha.1.23061.8,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T11:10:14.9266684Z,11.294799,11.4377145,98.75048900722254
8.0.100-alpha.1.23061.8,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T11:55:17.1975755Z,694.898647,118.5710384,586.0610283733502
8.0.100-alpha.1.23061.8,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T11:55:17.1975755Z,351.6866645,69.733081,504.3326057828995
8.0.100-alpha.1.23061.8,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T11:55:17.1975755Z,348.5189094,64.1521772,543.269027820306
8.0.100-alpha.1.23061.8,7.0.100,force,LargeAppCPM-142722b,2023-01-12T11:55:17.1975755Z,654.9145796,93.7751765,698.3879999415411
8.0.100-alpha.1.23061.8,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T11:55:17.1975755Z,11.8955964,12.1088883,98.23855093287135
8.0.100-alpha.1.23061.8,7.0.100,warmup,Orleans-eda972a,2023-01-12T11:50:13.8654427Z,20.5222869,19.4969849,105.25877208839609
8.0.100-alpha.1.23061.8,7.0.100,arctic,Orleans-eda972a,2023-01-12T11:50:13.8654427Z,19.1869934,17.9073397,107.1459732234822
8.0.100-alpha.1.23061.8,7.0.100,cold,Orleans-eda972a,2023-01-12T11:50:13.8654427Z,15.2974149,13.4128055,114.05082180607182
8.0.100-alpha.1.23061.8,7.0.100,force,Orleans-eda972a,2023-01-12T11:50:13.8654427Z,5.1720005,5.3918268,95.92297178388594
8.0.100-alpha.1.23061.8,7.0.100,noop,Orleans-eda972a,2023-01-12T11:50:13.8654427Z,3.8812514,3.6785949,105.50907358676542
8.0.100-alpha.1.23061.8,7.0.100,warmup,NuGetClient-win-d76a117,2023-01-12T11:57:07.3940807Z,141.3191085,161.9212556,87.27644062315436
8.0.100-alpha.1.23061.8,7.0.100,arctic,NuGetClient-win-d76a117,2023-01-12T11:57:07.3940807Z,104.0651521,116.3995878,89.40336823082805
